"","original","count","new"
"1",".",1,NA
"2","0-0",2,NA
"3","0-1",2,NA
"4","0-10",4,NA
"5","0-17",15,NA
"6","0-18",1,NA
"7","0-19",28,NA
"8","0-4",14,NA
"9","0-5",3,NA
"10","0-9",40,NA
"11","0-NA",1,NA
"12","1-14",2,NA
"13","1-9",2,NA
"14","10-14",1,NA
"15","10-17",3,NA
"16","10-19",41,NA
"17","100-104",1,NA
"18","100+",6,NA
"19","105-109",1,NA
"20","11-20",4,NA
"21","13-18",2,NA
"22","15-19",2,NA
"23","15-24",5,NA
"24","17",1,NA
"25","18-24",7,NA
"26","18-29",9,NA
"27","18-34",4,NA
"28","18-35",2,NA
"29","18-40",2,NA
"30","19-24",2,NA
"31","19-29",1,NA
"32","20-24",3,NA
"33","20-29",61,NA
"34","20-34",3,NA
"35","20-39",4,NA
"36","20-44",3,NA
"37","21-30",4,NA
"38","22",1,NA
"39","23",1,NA
"40","25",1,NA
"41","25-29",2,NA
"42","25-34",7,NA
"43","25-44",4,NA
"44","25-49",6,NA
"45","26",1,NA
"46","27",1,NA
"47","28",1,NA
"48","29",1,NA
"49","30",1,NA
"50","30-34",2,NA
"51","30-39",69,NA
"52","30-49",2,NA
"53","31",1,NA
"54","31-40",4,NA
"55","32",1,NA
"56","33",1,NA
"57","34",1,NA
"58","35",1,NA
"59","35-39",2,NA
"60","35-44",10,NA
"61","35-49",4,NA
"62","36",1,NA
"63","36-49",2,NA
"64","37",1,NA
"65","38",1,NA
"66","39",1,NA
"67","40",1,NA
"68","40-44",2,NA
"69","40-49",69,NA
"70","40-59",4,NA
"71","41",1,NA
"72","41-50",4,NA
"73","41-60",2,NA
"74","42",1,NA
"75","43",1,NA
"76","44",1,NA
"77","45",1,NA
"78","45-49",2,NA
"79","45-54",13,NA
"80","45-64",4,NA
"81","46",1,NA
"82","47",1,NA
"83","48",1,NA
"84","49",1,NA
"85","5-12",2,NA
"86","5-14",4,NA
"87","5-17",6,NA
"88","5-24",1,NA
"89","5-9",1,NA
"90","50",1,NA
"91","50-54",2,NA
"92","50-59",69,NA
"93","50-64",14,NA
"94","51",1,NA
"95","51-60",4,NA
"96","52",1,NA
"97","53",1,NA
"98","54",1,NA
"99","55",1,NA
"100","55-59",2,NA
"101","55-64",13,NA
"102","56",1,NA
"103","57",1,NA
"104","58",1,NA
"105","59",1,NA
"106","6-19",3,NA
"107","60",1,NA
"108","60-64",4,NA
"109","60-69",67,NA
"110","60-79",3,NA
"111","60+",1,NA
"112","61",1,NA
"113","61-70",4,NA
"114","61-80",2,NA
"115","62",1,NA
"116","63",1,NA
"117","64",1,NA
"118","64-74",1,NA
"119","65",1,NA
"120","65-69",4,NA
"121","65-74",11,NA
"122","65-79",4,NA
"123","65-84",2,NA
"124","65+",13,NA
"125","66",1,NA
"126","67",1,NA
"127","68",1,NA
"128","69",1,NA
"129","70",1,NA
"130","70-74",4,NA
"131","70-79",62,NA
"132","70+",5,NA
"133","71",1,NA
"134","71-80",4,NA
"135","72",1,NA
"136","73",1,NA
"137","74",1,NA
"138","75",1,NA
"139","75-79",4,NA
"140","75-84",9,NA
"141","75+",3,NA
"142","76",1,NA
"143","77",1,NA
"144","78",1,NA
"145","79",1,NA
"146","80",1,NA
"147","80-84",1,NA
"148","80-89",14,NA
"149","80+",59,NA
"150","81",1,NA
"151","81+",4,NA
"152","82",1,NA
"153","83",1,NA
"154","84",1,NA
"155","85",1,NA
"156","85-89",1,NA
"157","85+",11,NA
"158","86",1,NA
"159","87",1,NA
"160","88",1,NA
"161","89",1,NA
"162","90-94",1,NA
"163","90-99",6,NA
"164","90+",9,NA
"165","95-99",1,NA
"166","PENDING",5,NA
"167","UNKNOWN",73,NA
